公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,11,北投國小,1126300300,25.133615,121.50136
5分鐘,12,大業中央北路口,1126300060,25.135807,121.4978915
6分鐘,13,幼華高中(大業),1126800040,25.135718,121.4968066
8分鐘,14,大業路(捷運北投站),1126800640,25.13174,121.495841
9分鐘,15,大業路(大興街口),1126800540,25.12976,121.49669
9分鐘,16,鳳甲美術館,1126800840,25.127225,121.4978596
10分鐘,17,大業路(農禪寺),1126800440,25.122429,121.499222
11分鐘,18,承德公館路口,1126200430,25.118907,121.501973
12分鐘,19,立農國小,1126200240,25.117433,121.503568
4分鐘,22,石牌,1128700240,25.109536,121.512347
5分鐘,23,文林國小,1128700140,25.108034,121.5139733
6分鐘,24,中正高中,1128700040,25.105059,121.517803
7分鐘,25,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
9分鐘,26,捷運芝山站一,1115900340,25.100849,121.5223075
4分鐘,28,小北街,1116300541,25.090999,121.526725
7分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
10分鐘,30,圓山皇宮大廈,1116600140,25.083468,121.5233264
11分鐘,31,劍潭國小,1116600240,25.081056,121.5223096
13分鐘,32,明倫高中,1036700240,25.07344,121.5191524
5分鐘,34,民族承德路口,1036500040,25.067913,121.5182673
6分鐘,35,大同國小,1036300040,25.064874,121.5181
8分鐘,36,成淵高中,1036000040,25.062226,121.518152
7分鐘,38,捷運中山站(志仁高中),1035200120,25.05271,121.5196749
8分鐘,39,南京林森路口,1045400120,25.052069,121.5250604
10分鐘,40,南京吉林路口,1045700220,25.052007,121.529855
3分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
4分鐘,44,捷運南京復興站,1055000120,25.051804,121.5435614
6分鐘,45,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534
4分鐘,47,博仁醫院,1056000040,25.04937,121.55774
6分鐘,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
8分鐘,49,捷運國父紀念館站(光復),1069400140,25.042558,121.557568
3分鐘,52,三張犁,1069500040,25.034098,121.5573365
3分鐘,54,景新里,1104900440,25.02923,121.5624103
4分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
6分鐘,56,信義國中(莊敬),1105000240,25.027402,121.565724
8分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
3分鐘,60,吳興國小(松仁),1104600000,25.026234,121.568628
4分鐘,61,信義國中(松仁),1105900000,25.02881,121.568464
5分鐘,62,松平路口,1105800300,25.03124,121.56839
6分鐘,63,信義松仁路口(松仁),1105800400,25.03369,121.5684464
9分鐘,64,松壽路口,1105100460,25.035881,121.5666401
